age_group,initial_grade,bbd_severity_label,technique,deflux_volume_ml,mean_forward_flow_ml_s,reflux_fraction,filling_reflux_fraction,voiding_reflux_fraction,obstruction_index,peak_pelvis_pa,severe_obstruction_any
12_18m,1,none,sting,0.0,0.03649728109793099,0.07143440833330185,0.0,0.6686892626381312,0.0062500000000000186,710.9488378268593,0
12_18m,1,none,sting,0.05,0.03641305274311811,0.06813728846589041,0.0,0.6582568114323399,0.006421787841161282,710.7277057682184,0
12_18m,1,none,sting,0.1,0.036253411286488124,0.06004785534050198,0.0,0.6296037799539593,0.006655111003539978,709.9845308358924,0
12_18m,1,none,sting,0.15,0.025403665932862536,0.004331324298504737,0.0,0.112590733104808,0.07461597613481208,753.7354159522416,0
12_18m,1,none,sting,0.2,0.01631706812638958,0.006442848200850838,0.0,0.15417905559497308,0.22259223760405938,799.641285995634,0
12_18m,1,none,sting,0.25,0.016280714604075593,0.006457026332493961,0.0,0.1544469692244897,0.2235425076882458,799.8080258646123,0
12_18m,1,none,sting,0.3,0.01622686948728136,0.006478140739752695,0.0,0.15484557920809736,0.22495788347245826,800.0555245129567,0
12_18m,1,none,sting,0.35,0.016156785495296325,0.006505829566961921,0.0,0.15536763290551223,0.22681436354114687,800.5997925180136,0
12_18m,1,none,sting,0.4,0.01607773840844774,0.006537327545732871,0.0,0.15596191547597713,0.228930111130894,801.2136503228912,0
12_18m,1,none,sting,0.45,0.015998759775130923,0.006569120315264617,0.0,0.15656186047675905,0.23106872443972576,801.8269293715567,0
12_18m,1,none,sting,0.5,0.015925608043978905,0.006598848634344423,0.0,0.15712269220350447,0.23307080523672102,802.3949388241313,0
12_18m,1,none,sting,0.55,0.01586015564536934,0.006625698273815379,0.0,0.1576322292773291,0.23488831823794226,802.9030284077081,0
12_18m,1,none,sting,0.6,0.015801116011069746,0.006650101025041072,0.0,0.1580953210339065,0.23654218315434883,803.3613273222845,0
12_18m,1,none,sting,0.7,0.01569570637713896,0.006694116890228556,0.0,0.15892904761311993,0.23952634070553575,804.1795905159995,0
12_18m,1,none,sting,0.8,0.015599324528044405,0.0067348861213911955,0.0,0.1597002242107094,0.24229324900853438,804.9277529239956,0
12_18m,1,none,sting,1.0,0.01541704538256269,0.006813372745749732,0.0,0.16118404693324223,0.2476330299876538,806.3425931475833,0
12_18m,1,none,sting,1.2,0.015240905919298603,0.006890943608856991,0.0,0.16264625864166452,0.25291986832336943,807.7097915482016,0
12_18m,1,none,sting,1.5,0.014984796040673947,0.007006877490765606,0.0,0.16482428351726977,0.26084067542834266,809.6977269648248,0
12_18m,1,none,sting,2.0,0.014579242576593168,0.007198820971761543,0.0,0.16842502028668166,0.27404070387605883,812.8449798616198,0
12_18m,1,none,hit,0.0,0.03649728109793099,0.07143440833330185,0.0,0.6686892626381312,0.0062500000000000186,710.9488378268593,0
12_18m,1,none,hit,0.05,0.03610789443236355,0.045969463622894585,0.0,0.5670492766599281,0.00650768176174192,708.0174534815494,0
12_18m,1,none,hit,0.1,0.034452535126255554,0.0032291192748440467,0.0,0.08902929174485988,0.011801250707488517,709.0557920315339,0
12_18m,1,none,hit,0.15,0.02970610210955612,0.0019484183033067941,0.0,0.0566866314547182,0.03908123170872476,731.1713288769145,0
12_18m,1,none,hit,0.2,0.024201494916254923,0.0013670429639969857,0.0,0.041504309333221544,0.08707490327984908,759.9024577797752,0
12_18m,1,none,hit,0.25,0.024074290089605183,0.001374131290648237,0.0,0.04167550692675851,0.08850030840612869,760.5886278673308,0
12_18m,1,none,hit,0.3,0.023887121239529664,0.001384684467303821,0.0,0.04193125910391875,0.09062337208244735,761.5927704379626,0
12_18m,1,none,hit,0.35,0.02364531143881203,0.0013985583037219073,0.0,0.042266996663405214,0.09340809218548025,762.8817297835034,0
12_18m,1,none,hit,0.4,0.023375120763219993,0.001414380502378083,0.0,0.04265101455565783,0.09658171357010097,764.3102084644452,0
12_18m,1,none,hit,0.45,0.023110021513838758,0.0014302907911869869,0.0,0.04304256178651845,0.0997896335333486,765.7086513409478,0
12_18m,1,none,hit,0.5,0.02286770732854285,0.0014451595734358443,0.0,0.04341066979409118,0.10279275472884149,766.9805428933353,0
12_18m,1,none,hit,0.55,0.022653213940918356,0.001458602773940481,0.0,0.04374677413394559,0.10551902423067339,768.1037888354026,0
12_18m,1,none,hit,0.6,0.02246236592407376,0.0014707800269290075,0.0,0.044054297891606566,0.10799982160528324,769.0998704416471,0
12_18m,1,none,hit,0.7,0.022126500217866905,0.0014927326304796473,0.0,0.0446103872000788,0.11247605793206353,770.8439882261174,0
12_18m,1,none,hit,0.8,0.021824344510016767,0.0015129702967369952,0.0,0.045129044446196656,0.11662642038656153,772.394407853502,0
12_18m,1,none,hit,1.0,0.02126504774358954,0.001551933332453591,0.0,0.04613294962010001,0.12463609185524067,775.2350687211458,0
12_18m,1,none,hit,1.2,0.0207426069953988,0.0015903922517838112,0.0,0.04712973114180634,0.13256634935881423,777.8720089888,0
12_18m,1,none,hit,1.5,0.020008858720761837,0.0016479800062204075,0.0,0.04862178835029816,0.14444756001627407,781.5381290787033,0
12_18m,1,none,hit,2.0,0.01890914788988029,0.0017432887894743743,0.0,0.05108564078171153,0.16424760268784827,786.9705612313785,0
12_18m,1,none,double_hit,0.0,0.03649728109793099,0.07143440833330185,0.0,0.6686892626381312,0.0062500000000000186,710.9488378268593,0
12_18m,1,none,double_hit,0.05,0.03606437735477935,0.04756343603461101,0.0,0.5752049999587775,0.006779567718795883,708.534297377169,0
12_18m,1,none,double_hit,0.1,0.03522360134458044,0.022391946036369584,0.0,0.3940450170728241,0.00918048743167282,708.30824274956,0
12_18m,1,none,double_hit,0.15,0.034186811782627266,0.005827381408595383,0.0,0.15023725623470655,0.013223769584101238,710.8477946518906,0
12_18m,1,none,double_hit,0.2,0.03276666012188557,0.0015662166304348858,0.0,0.04724884072759099,0.0203008696610778,717.209859637336,0
12_18m,1,none,double_hit,0.25,0.030493054709201668,0.0006493190830318286,0.0,0.021571608932136766,0.033695661446293455,727.5613325377288,0
12_18m,1,none,double_hit,0.3,0.02657634371129626,8.443712355966199e-05,0.0,0.0031285681629352594,0.06337484193429928,746.5034049383986,0
12_18m,1,none,double_hit,0.35,0.021341219594859233,0.0,0.0,0.0,0.12341777802523715,774.6475729224915,0
12_18m,1,none,double_hit,0.4,0.02126943559151153,0.0,0.0,0.0,0.12446974231484735,775.0098431220481,0
12_18m,1,none,double_hit,0.45,0.021178840631108392,0.0,0.0,0.0,0.12581121945213825,775.4675970085758,0
12_18m,1,none,double_hit,0.5,0.021066756405638248,0.0,0.0,0.0,0.1274934832070385,776.0350509141581,0
12_18m,1,none,double_hit,0.55,0.020931076505745702,0.0,0.0,0.0,0.12955243969505684,776.7197693186612,0
12_18m,1,none,double_hit,0.6,0.020772462487000737,0.0,0.0,0.0,0.13199718137428584,777.519073350977,0
12_18m,1,none,double_hit,0.7,0.020398791347064606,0.0,0.0,0.0,0.13790446477996898,779.390187951351,0
12_18m,1,none,double_hit,0.8,0.019991183075037066,0.0,0.0,0.0,0.1446367323859209,781.4239674806555,0
12_18m,1,none,double_hit,1.0,0.01924502557634656,0.0,0.0,0.0,0.15781234035064334,785.1239349848966,0
12_18m,1,none,double_hit,1.2,0.018665204663255143,0.0,0.0,0.0,0.16885819724591483,787.955138105269,0
12_18m,1,none,double_hit,1.5,0.01798359784230851,0.0,0.0,0.0,0.18280681294684037,791.2392476065463,0
12_18m,1,none,double_hit,2.0,0.017038206418025014,0.0,0.0,0.0,0.2041490557681056,795.7202908055685,0
12_18m,1,none,hit_plus_sting,0.0,0.03649728109793099,0.07143440833330185,0.0,0.6686892626381312,0.0062500000000000186,710.9488378268593,0
12_18m,1,none,hit_plus_sting,0.05,0.03638104835024451,0.06520444869351114,0.0,0.6484370248639632,0.006392953706956336,710.3143488785868,0
12_18m,1,none,hit_plus_sting,0.1,0.036068484960447456,0.04362157138148724,0.0,0.5543761813021876,0.006553680868526343,707.7929433824168,0
12_18m,1,none,hit_plus_sting,0.15,0.035644537597871936,0.019405927746027313,0.0,0.3613636999772625,0.006830738691055516,705.621265959973,0
12_18m,1,none,hit_plus_sting,0.2,0.03473036379185053,0.002702324904389995,0.0,0.07622399332229118,0.01046178375706814,707.5391093987744,0
