scenario,placement_asymmetry_enabled,age_group,sex,initial_grade,tortuosity_index,technique,n_sites,deflux_volume_ml,reflux_fraction,obstruction_index,reflux_volume_ml,antegrade_volume_ml,uvj_forward_resistance_multiplier
no_asymmetry,0,18_24m,female|male (averaged),5,1.5|2.5|3.5 (averaged),sting,1,1.20,0.1514,0.1549,0.1044,0.5896,3.155
no_asymmetry,0,18_24m,female|male (averaged),5,1.5|2.5|3.5 (averaged),sting,1,1.50,0.1539,0.1629,0.1043,0.5774,3.314
no_asymmetry,0,18_24m,female|male (averaged),5,1.5|2.5|3.5 (averaged),sting,1,2.00,0.1583,0.1761,0.1041,0.5581,3.578
no_asymmetry,0,18_24m,female|male (averaged),5,1.5|2.5|3.5 (averaged),hit,1,0.60,0.0470,0.1363,0.0206,0.4374,2.782
no_asymmetry,0,18_24m,female|male (averaged),5,1.5|2.5|3.5 (averaged),hit,1,0.80,0.0500,0.1538,0.0205,0.4090,3.134
no_asymmetry,0,18_24m,female|male (averaged),5,1.5|2.5|3.5 (averaged),hit,1,1.00,0.0519,0.1651,0.0204,0.3930,3.358
no_asymmetry,0,18_24m,female|male (averaged),5,1.5|2.5|3.5 (averaged),hit,1,1.20,0.0533,0.1734,0.0204,0.3820,3.525
no_asymmetry,0,18_24m,female|male (averaged),5,1.5|2.5|3.5 (averaged),hit,1,1.50,0.0553,0.1854,0.0204,0.3676,3.764
no_asymmetry,0,18_24m,female|male (averaged),5,1.5|2.5|3.5 (averaged),hit,1,2.00,0.0585,0.2052,0.0203,0.3462,4.160
no_asymmetry,0,18_24m,female|male (averaged),5,1.5|2.5|3.5 (averaged),double_hit,2,0.60,0.5335,0.0509,6.4816,5.6320,1.064
no_asymmetry,0,18_24m,female|male (averaged),5,1.5|2.5|3.5 (averaged),double_hit,2,0.80,0.4279,0.0567,1.1183,1.4775,1.192
no_asymmetry,0,18_24m,female|male (averaged),5,1.5|2.5|3.5 (averaged),double_hit,2,1.00,0.0215,0.0841,0.0114,0.5492,1.739
no_asymmetry,0,18_24m,female|male (averaged),5,1.5|2.5|3.5 (averaged),double_hit,2,1.20,0.0000,0.1830,0.0000,0.3663,3.716
no_asymmetry,0,18_24m,female|male (averaged),5,1.5|2.5|3.5 (averaged),double_hit,2,1.50,0.0000,0.2117,0.0000,0.3360,4.290
no_asymmetry,0,18_24m,female|male (averaged),5,1.5|2.5|3.5 (averaged),double_hit,2,2.00,0.0000,0.2440,0.0000,0.3081,4.938
no_asymmetry,0,18_24m,female|male (averaged),5,1.5|2.5|3.5 (averaged),hit_plus_sting,2,0.60,0.5305,0.0494,8.3711,7.3780,1.032
no_asymmetry,0,18_24m,female|male (averaged),5,1.5|2.5|3.5 (averaged),hit_plus_sting,2,0.80,0.5186,0.0502,3.0978,2.8505,1.054
no_asymmetry,0,18_24m,female|male (averaged),5,1.5|2.5|3.5 (averaged),hit_plus_sting,2,1.00,0.0668,0.0639,0.0498,0.7028,1.335
no_asymmetry,0,18_24m,female|male (averaged),5,1.5|2.5|3.5 (averaged),hit_plus_sting,2,1.20,0.0125,0.1688,0.0042,0.3846,3.433
no_asymmetry,0,18_24m,female|male (averaged),5,1.5|2.5|3.5 (averaged),hit_plus_sting,2,1.50,0.0132,0.1848,0.0042,0.3650,3.753
no_asymmetry,0,18_24m,female|male (averaged),5,1.5|2.5|3.5 (averaged),hit_plus_sting,2,2.00,0.0139,0.2028,0.0042,0.3456,4.112
no_asymmetry,0,18_24m,female|male (averaged),5,1.5|2.5|3.5 (averaged),double_hit_plus_sting,3,0.60,0.5283,0.0568,8.9190,7.9359,1.035
no_asymmetry,0,18_24m,female|male (averaged),5,1.5|2.5|3.5 (averaged),double_hit_plus_sting,3,0.80,0.5324,0.0502,7.4879,6.5428,1.049
no_asymmetry,0,18_24m,female|male (averaged),5,1.5|2.5|3.5 (averaged),double_hit_plus_sting,3,1.00,0.5312,0.0518,4.3039,3.7689,1.086
no_asymmetry,0,18_24m,female|male (averaged),5,1.5|2.5|3.5 (averaged),double_hit_plus_sting,3,1.20,0.3837,0.0559,0.7911,1.2577,1.174
no_asymmetry,0,18_24m,female|male (averaged),5,1.5|2.5|3.5 (averaged),double_hit_plus_sting,3,1.50,0.0076,0.0801,0.0038,0.5584,1.658
no_asymmetry,0,18_24m,female|male (averaged),5,1.5|2.5|3.5 (averaged),double_hit_plus_sting,3,2.00,0.0000,0.2183,0.0000,0.3298,4.422
