v50_ml,k,n_strata,changed_strata_count,changed_technique_count,changed_volume_count,double_hit_count,double_hit_plus_sting_count,hit_count,sting_count,volume_count_0p6,volume_count_0p8,volume_count_1p0,volume_count_1p2,volume_count_1p5,volume_count_2p0,sampling_protocol
0.25,8.0,15,6,1,6,11,4,0,0,12,0,3,0,0,0,18_24m; female_reference; grade5_tortuosity_2.5
0.25,12.0,15,6,3,6,15,0,0,0,12,3,0,0,0,0,18_24m; female_reference; grade5_tortuosity_2.5
0.25,16.0,15,9,5,4,7,8,0,0,10,2,0,3,0,0,18_24m; female_reference; grade5_tortuosity_2.5
0.35,8.0,15,6,5,4,13,2,0,0,10,2,3,0,0,0,18_24m; female_reference; grade5_tortuosity_2.5
0.35,12.0,15,0,0,0,12,3,0,0,9,3,0,0,3,0,18_24m; female_reference; grade5_tortuosity_2.5
0.35,16.0,15,3,3,1,10,4,1,0,10,3,0,0,2,0,18_24m; female_reference; grade5_tortuosity_2.5
0.45,8.0,15,9,7,6,11,4,0,0,8,2,2,3,0,0,18_24m; female_reference; grade5_tortuosity_2.5
0.45,12.0,15,12,4,12,8,7,0,0,3,5,4,0,0,3,18_24m; female_reference; grade5_tortuosity_2.5
0.45,16.0,15,10,2,10,11,3,1,0,5,5,0,2,1,2,18_24m; female_reference; grade5_tortuosity_2.5
