age_group,initial_grade,bbd_severity_label,baseline_technique,baseline_volume_ml,baseline_reflux_fraction,baseline_obstruction_index,no_asymmetry_technique,no_asymmetry_volume_ml,no_asymmetry_reflux_fraction,no_asymmetry_obstruction_index,no_asymmetry_selection_mode,no_asymmetry_safe_candidates_n,changed_vs_baseline,sampling_protocol
18_24m,5,severe,double_hit_plus_sting,1.50,0.1192,0.0791,double_hit_plus_sting,1.50,0.0977,0.0801,within_ceiling,15,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
24_60m,1,none,double_hit,0.60,0.0000,0.1308,double_hit,0.60,0.0000,0.1308,within_ceiling,18,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
24_60m,1,moderate,double_hit,0.60,0.0000,0.1308,double_hit,0.60,0.0000,0.1308,within_ceiling,18,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
24_60m,1,severe,double_hit,0.60,0.0000,0.1308,double_hit,0.60,0.0000,0.1308,within_ceiling,18,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
24_60m,2,none,double_hit,0.60,0.0000,0.1303,double_hit_plus_sting,0.80,0.0000,0.1274,within_ceiling,19,1,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
24_60m,2,moderate,double_hit,0.60,0.0000,0.1303,double_hit_plus_sting,0.80,0.0000,0.1274,within_ceiling,19,1,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
24_60m,2,severe,double_hit,0.60,0.0000,0.1303,double_hit_plus_sting,0.80,0.0000,0.1274,within_ceiling,19,1,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
24_60m,3,none,double_hit_plus_sting,1.00,0.0000,0.1102,double_hit_plus_sting,1.00,0.0000,0.0906,within_ceiling,21,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
24_60m,3,moderate,double_hit,0.80,0.0000,0.1350,double_hit,0.80,0.0000,0.1350,within_ceiling,21,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
24_60m,3,severe,double_hit,0.80,0.0000,0.1350,double_hit,0.80,0.0000,0.1350,within_ceiling,21,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
24_60m,4,none,double_hit,1.00,0.0000,0.1383,double_hit,1.00,0.0000,0.1383,within_ceiling,22,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
24_60m,4,moderate,double_hit,1.00,0.0000,0.1383,double_hit,1.00,0.0000,0.1383,within_ceiling,22,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
24_60m,4,severe,double_hit,1.00,0.0000,0.1383,double_hit,1.00,0.0000,0.1383,within_ceiling,22,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
24_60m,5,none,double_hit,1.20,0.0221,0.0836,double_hit,1.20,0.0221,0.0836,within_ceiling,16,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
24_60m,5,moderate,double_hit,1.20,0.0822,0.0836,double_hit,1.20,0.0822,0.0836,within_ceiling,16,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
24_60m,5,severe,double_hit,1.20,0.1574,0.0836,double_hit,1.20,0.1574,0.0836,within_ceiling,16,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
5_10y,1,none,double_hit_plus_sting,1.00,0.0000,0.0981,double_hit_plus_sting,1.00,0.0000,0.0847,within_ceiling,19,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
5_10y,1,moderate,double_hit_plus_sting,1.00,0.0000,0.0981,double_hit_plus_sting,1.00,0.0000,0.0847,within_ceiling,19,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
5_10y,1,severe,double_hit,0.80,0.0000,0.1380,double_hit,0.80,0.0000,0.1380,within_ceiling,19,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
5_10y,2,none,double_hit_plus_sting,1.00,0.0000,0.0605,double_hit_plus_sting,1.00,0.0000,0.0581,within_ceiling,19,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
5_10y,2,moderate,double_hit,0.80,0.0000,0.1372,double_hit,0.80,0.0000,0.1372,within_ceiling,19,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
5_10y,2,severe,double_hit,0.80,0.0000,0.1372,double_hit,0.80,0.0000,0.1372,within_ceiling,19,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
5_10y,3,none,double_hit,1.00,0.0000,0.1420,double_hit,1.00,0.0000,0.1420,within_ceiling,21,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
5_10y,3,moderate,double_hit,1.00,0.0000,0.1420,double_hit,1.00,0.0000,0.1420,within_ceiling,21,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
5_10y,3,severe,double_hit,1.00,0.0000,0.1420,double_hit,1.00,0.0000,0.1420,within_ceiling,21,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
5_10y,4,none,double_hit,1.20,0.0000,0.1045,double_hit,1.20,0.0000,0.1045,within_ceiling,24,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
5_10y,4,moderate,double_hit,1.20,0.0000,0.1045,double_hit,1.20,0.0000,0.1045,within_ceiling,24,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
5_10y,4,severe,double_hit,1.20,0.0005,0.1045,double_hit,1.20,0.0005,0.1045,within_ceiling,24,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
5_10y,5,none,double_hit,1.50,0.0272,0.0862,double_hit,1.50,0.0272,0.0862,within_ceiling,20,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
5_10y,5,moderate,double_hit,1.50,0.0853,0.0862,double_hit,1.50,0.0853,0.0862,within_ceiling,20,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
5_10y,5,severe,double_hit,1.50,0.1546,0.0862,double_hit,1.50,0.1546,0.0862,within_ceiling,20,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
10_16y,1,none,double_hit,1.00,0.0000,0.1460,double_hit,1.00,0.0000,0.1460,within_ceiling,21,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
10_16y,1,moderate,double_hit,1.00,0.0000,0.1460,double_hit,1.00,0.0000,0.1460,within_ceiling,21,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
10_16y,1,severe,double_hit,1.00,0.0000,0.1460,double_hit,1.00,0.0000,0.1460,within_ceiling,21,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
10_16y,2,none,double_hit,1.00,0.0000,0.1240,double_hit,1.00,0.0000,0.1240,within_ceiling,21,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
10_16y,2,moderate,double_hit,1.00,0.0000,0.1240,double_hit,1.00,0.0000,0.1240,within_ceiling,21,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
10_16y,2,severe,double_hit,1.00,0.0000,0.1240,double_hit,1.00,0.0000,0.1240,within_ceiling,21,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
10_16y,3,none,double_hit,1.20,0.0000,0.0976,double_hit,1.20,0.0000,0.0976,within_ceiling,23,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
10_16y,3,moderate,double_hit,1.20,0.0000,0.0976,double_hit,1.20,0.0000,0.0976,within_ceiling,23,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
10_16y,3,severe,double_hit,1.20,0.0001,0.0976,double_hit,1.20,0.0001,0.0976,within_ceiling,23,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
10_16y,4,none,double_hit,1.50,0.0000,0.0822,double_hit,1.50,0.0000,0.0822,within_ceiling,26,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
10_16y,4,moderate,double_hit,1.50,0.0010,0.0822,double_hit,1.50,0.0010,0.0822,within_ceiling,26,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
10_16y,4,severe,double_hit,1.50,0.0047,0.0822,double_hit,1.50,0.0047,0.0822,within_ceiling,26,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
10_16y,5,none,double_hit,2.00,0.0077,0.1179,double_hit,2.00,0.0077,0.1179,within_ceiling,24,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
10_16y,5,moderate,double_hit,2.00,0.0369,0.1179,double_hit,2.00,0.0369,0.1179,within_ceiling,24,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
10_16y,5,severe,double_hit,2.00,0.0807,0.1179,double_hit,2.00,0.0807,0.1179,within_ceiling,24,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
