age_group,initial_grade,bbd_severity_label,baseline_site_exponent,no_discount_site_exponent,baseline_technique,baseline_volume_ml,baseline_reflux_fraction,baseline_obstruction_index,no_discount_technique,no_discount_volume_ml,no_discount_reflux_fraction,no_discount_obstruction_index,no_discount_selection_mode,no_discount_safe_candidates_n,changed_vs_baseline,sampling_protocol
18_24m,5,none,0.50,0.00,double_hit_plus_sting,1.50,0.0103,0.0791,double_hit_plus_sting,1.50,0.0112,0.1030,within_ceiling,12,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
18_24m,5,moderate,0.50,0.00,double_hit_plus_sting,1.50,0.0518,0.0791,double_hit_plus_sting,1.50,0.0592,0.1030,within_ceiling,12,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
18_24m,5,severe,0.50,0.00,double_hit_plus_sting,1.50,0.1192,0.0791,double_hit_plus_sting,1.50,0.1361,0.1030,within_ceiling,12,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
24_60m,1,none,0.50,0.00,double_hit,0.60,0.0000,0.1308,double_hit_plus_sting,0.60,0.0001,0.0425,within_ceiling,6,1,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
24_60m,1,moderate,0.50,0.00,double_hit,0.60,0.0000,0.1308,double_hit_plus_sting,0.60,0.0009,0.0425,within_ceiling,6,1,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
24_60m,1,severe,0.50,0.00,double_hit,0.60,0.0000,0.1308,double_hit_plus_sting,0.60,0.0028,0.0425,within_ceiling,6,1,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
24_60m,2,none,0.50,0.00,double_hit,0.60,0.0000,0.1303,double_hit_plus_sting,0.60,0.0006,0.0361,within_ceiling,6,1,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
24_60m,2,moderate,0.50,0.00,double_hit,0.60,0.0000,0.1303,double_hit_plus_sting,0.60,0.0032,0.0361,within_ceiling,6,1,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
24_60m,2,severe,0.50,0.00,double_hit,0.60,0.0000,0.1303,double_hit_plus_sting,0.60,0.0082,0.0361,within_ceiling,6,1,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
24_60m,3,none,0.50,0.00,double_hit_plus_sting,1.00,0.0000,0.1102,double_hit,0.60,0.0007,0.0541,within_ceiling,9,1,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
24_60m,3,moderate,0.50,0.00,double_hit,0.80,0.0000,0.1350,double_hit,0.60,0.0047,0.0541,within_ceiling,9,1,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
24_60m,3,severe,0.50,0.00,double_hit,0.80,0.0000,0.1350,double_hit,0.60,0.0129,0.0541,within_ceiling,9,1,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
24_60m,4,none,0.50,0.00,double_hit,1.00,0.0000,0.1383,double_hit_plus_sting,1.20,0.0054,0.0485,within_ceiling,13,1,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
24_60m,4,moderate,0.50,0.00,double_hit,1.00,0.0000,0.1383,double_hit_plus_sting,1.20,0.0234,0.0485,within_ceiling,13,1,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
24_60m,4,severe,0.50,0.00,double_hit,1.00,0.0000,0.1383,double_hit_plus_sting,1.20,0.0513,0.0485,within_ceiling,13,1,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
24_60m,5,none,0.50,0.00,double_hit,1.20,0.0221,0.0836,double_hit,1.20,0.0238,0.0979,within_ceiling,15,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
